Color name,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
dark skin,0.052,0.055,0.057,0.057,0.056,0.056,0.055,0.055,0.057,0.059,0.062,0.064,0.065,0.067,0.070,0.073,0.075,0.079,0.086,0.098,0.115,0.130,0.139,0.142,0.148,0.158,0.172,0.186,0.194,0.194,0.185,0.176,0.177,0.185,0.196,0.212
light skin,0.096,0.125,0.153,0.166,0.171,0.176,0.185,0.199,0.222,0.254,0.292,0.329,0.352,0.348,0.307,0.263,0.249,0.257,0.256,0.269,0.329,0.417,0.487,0.528,0.554,0.575,0.598,0.626,0.658,0.693,0.729,0.768,0.808,0.841,0.863,0.881
blue sky,0.103,0.156,0.229,0.281,0.301,0.311,0.321,0.327,0.325,0.317,0.305,0.286,0.264,0.242,0.218,0.201,0.191,0.182,0.168,0.156,0.149,0.147,0.144,0.138,0.133,0.132,0.135,0.144,0.153,0.158,0.157,0.151,0.144,0.140,0.145,0.161
foliage,0.050,0.052,0.054,0.054,0.054,0.054,0.055,0.057,0.060,0.068,0.078,0.085,0.090,0.102,0.132,0.168,0.183,0.179,0.165,0.150,0.138,0.127,0.117,0.109,0.106,0.106,0.106,0.107,0.108,0.110,0.112,0.114,0.116,0.118,0.118,0.120
blue flower,0.122,0.194,0.308,0.403,0.436,0.439,0.434,0.427,0.414,0.396,0.371,0.342,0.312,0.280,0.247,0.226,0.220,0.213,0.199,0.188,0.190,0.206,0.229,0.247,0.249,0.252,0.270,0.300,0.330,0.349,0.354,0.354,0.357,0.364,0.370,0.378
bluish green,0.117,0.174,0.251,0.305,0.325,0.338,0.354,0.378,0.418,0.471,0.522,0.565,0.588,0.591,0.577,0.553,0.522,0.483,0.439,0.393,0.346,0.299,0.257,0.231,0.217,0.210,0.205,0.201,0.202,0.209,0.219,0.229,0.237,0.238,0.232,0.228
orange,0.048,0.049,0.050,0.050,0.050,0.051,0.052,0.054,0.059,0.066,0.073,0.077,0.081,0.092,0.114,0.138,0.158,0.190,0.256,0.364,0.472,0.540,0.568,0.578,0.581,0.582,0.583,0.585,0.588,0.590,0.594,0.597,0.603,0.608,0.611,0.616
purplish blue,0.100,0.158,0.239,0.303,0.339,0.369,0.399,0.414,0.404,0.371,0.321,0.262,0.210,0.168,0.136,0.114,0.102,0.094,0.087,0.083,0.081,0.081,0.082,0.082,0.083,0.086,0.093,0.103,0.119,0.141,0.171,0.214,0.271,0.336,0.405,0.471
moderate red,0.095,0.119,0.137,0.139,0.134,0.130,0.127,0.124,0.121,0.117,0.113,0.110,0.106,0.100,0.094,0.091,0.091,0.090,0.089,0.096,0.141,0.252,0.394,0.509,0.575,0.605,0.617,0.621,0.623,0.621,0.619,0.618,0.619,0.619,0.618,0.618
purple,0.095,0.128,0.161,0.175,0.172,0.161,0.147,0.133,0.120,0.106,0.092,0.081,0.073,0.064,0.055,0.050,0.049,0.048,0.046,0.046,0.048,0.052,0.063,0.084,0.107,0.123,0.136,0.151,0.171,0.197,0.228,0.263,0.299,0.332,0.360,0.382
yellow green,0.077,0.088,0.094,0.094,0.090,0.087,0.084,0.083,0.082,0.082,0.085,0.108,0.196,0.364,0.510,0.578,0.592,0.577,0.548,0.514,0.470,0.418,0.368,0.335,0.317,0.307,0.300,0.295,0.297,0.307,0.321,0.335,0.346,0.346,0.336,0.332
orange yellow,0.058,0.059,0.059,0.059,0.059,0.059,0.060,0.063,0.070,0.082,0.093,0.099,0.105,0.126,0.190,0.304,0.404,0.457,0.491,0.531,0.572,0.608,0.630,0.643,0.649,0.653,0.656,0.660,0.664,0.666,0.669,0.671,0.676,0.679,0.680,0.683
blue,0.071,0.104,0.151,0.195,0.227,0.254,0.283,0.301,0.294,0.265,0.220,0.169,0.128,0.095,0.068,0.052,0.046,0.043,0.041,0.040,0.040,0.040,0.040,0.040,0.041,0.042,0.044,0.047,0.050,0.051,0.049,0.048,0.050,0.053,0.060,0.070
green,0.054,0.057,0.059,0.060,0.061,0.062,0.065,0.070,0.080,0.096,0.124,0.169,0.232,0.297,0.338,0.344,0.328,0.300,0.266,0.232,0.196,0.160,0.131,0.113,0.105,0.101,0.098,0.096,0.098,0.102,0.109,0.117,0.122,0.123,0.119,0.118
red,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.046,0.050,0.055,0.058,0.057,0.056,0.054,0.054,0.053,0.052,0.050,0.050,0.055,0.073,0.124,0.229,0.364,0.470,0.526,0.550,0.560,0.565,0.566,0.567,0.569,0.572,0.575,0.575,0.578
yellow,0.056,0.056,0.057,0.058,0.058,0.059,0.060,0.063,0.068,0.078,0.095,0.128,0.201,0.322,0.458,0.566,0.632,0.668,0.688,0.704,0.713,0.720,0.723,0.724,0.723,0.727,0.731,0.733,0.735,0.730,0.706,0.694,0.720,0.748,0.758,0.763
magenta,0.116,0.182,0.281,0.349,0.363,0.352,0.329,0.302,0.274,0.246,0.217,0.188,0.167,0.148,0.123,0.102,0.097,0.101,0.102,0.109,0.145,0.224,0.333,0.440,0.517,0.569,0.620,0.676,0.724,0.752,0.762,0.766,0.767,0.769,0.781,0.807
cyan,0.090,0.134,0.193,0.240,0.264,0.287,0.317,0.351,0.388,0.426,0.446,0.445,0.424,0.385,0.333,0.278,0.228,0.181,0.140,0.112,0.094,0.082,0.074,0.069,0.066,0.065,0.065,0.066,0.068,0.070,0.069,0.068,0.066,0.065,0.067,0.073
white 9.5 (.05 D),0.140,0.227,0.408,0.650,0.812,0.860,0.873,0.882,0.890,0.895,0.900,0.905,0.908,0.909,0.910,0.911,0.913,0.914,0.913,0.917,0.917,0.919,0.920,0.922,0.922,0.922,0.925,0.928,0.931,0.930,0.930,0.930,0.932,0.933,0.932,0.935
neutral 8 (.23 D),0.128,0.210,0.361,0.513,0.577,0.590,0.594,0.598,0.600,0.599,0.599,0.600,0.601,0.601,0.601,0.601,0.602,0.602,0.601,0.602,0.601,0.600,0.598,0.598,0.597,0.595,0.595,0.595,0.595,0.593,0.591,0.590,0.590,0.590,0.588,0.589
neutral 6.5 (.44 D),0.112,0.177,0.270,0.339,0.361,0.367,0.371,0.374,0.375,0.373,0.372,0.372,0.373,0.373,0.373,0.374,0.374,0.374,0.374,0.376,0.375,0.375,0.373,0.372,0.370,0.368,0.366,0.365,0.363,0.361,0.358,0.356,0.355,0.353,0.351,0.350
neutral 5 (.70 D),0.093,0.127,0.161,0.179,0.184,0.186,0.190,0.192,0.192,0.190,0.189,0.189,0.189,0.189,0.190,0.190,0.191,0.191,0.191,0.193,0.193,0.192,0.191,0.190,0.188,0.187,0.185,0.184,0.182,0.180,0.178,0.177,0.176,0.174,0.172,0.171
neutral 3.5 (1.05 D),0.064,0.075,0.083,0.087,0.088,0.089,0.091,0.092,0.092,0.091,0.090,0.090,0.090,0.090,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.090,0.089,0.088,0.088,0.087,0.086,0.086,0.085,0.084,0.083,0.083,0.083,0.082,0.081
black 2 (1.5 D),0.033,0.034,0.034,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033
